Date,Unix,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount,Change
2021-12-06,1638748800000,BTCUSDT,49396.32,50891.11,47100.0,50441.92,58571.21575,2851528919.1795363,1741956,-0.14127600099079773
2021-12-07,1638835200000,BTCUSDT,50441.91,51936.33,50039.74,50588.95,38253.46877,1950573500.2086656,1212350,-0.13847801549170957
2021-12-08,1638921600000,BTCUSDT,50588.95,51200.0,48600.0,50471.19,38425.92466,1925458787.114752,1118225,-0.14383067958767093
2021-12-09,1639008000000,BTCUSDT,50471.19,50797.76,47320.0,47545.59,37692.68665,1841474998.89511,1130599,-0.16662623567226642
2021-12-10,1639094400000,BTCUSDT,47535.9,50125.0,46852.0,47140.54,44233.57391,2135023722.853152,1215231,-0.19005305830503105
2021-12-11,1639180800000,BTCUSDT,47140.54,49485.71,46751.0,49389.99,28889.19358,1397524635.5814018,957390,-0.16472182728256846
2021-12-12,1639267200000,BTCUSDT,49389.99,50777.0,48638.0,50053.9,26017.93421,1292315883.6245537,863605,-0.1368700224085917
2021-12-13,1639353600000,BTCUSDT,50053.9,50189.97,45672.75,46702.75,50869.52093,2423888500.7903047,1399599,-0.16532850074481553
2021-12-14,1639440000000,BTCUSDT,46702.76,48700.41,46290.0,48343.28,39955.98445,1887427362.4740963,1194992,-0.16760770776713607
2021-12-15,1639526400000,BTCUSDT,48336.95,49500.0,46547.0,48864.98,51629.181,2487012309.091549,1438176,-0.1595657843637378
2021-12-16,1639612800000,BTCUSDT,48864.98,49436.43,47511.0,47632.38,31949.86739,1551200654.0527449,1023983,-0.20306050966443712
2021-12-17,1639699200000,BTCUSDT,47632.38,47995.96,45456.0,46131.2,43104.4887,2015966349.5161328,1261780,-0.23117780396560617
2021-12-18,1639785600000,BTCUSDT,46133.83,47392.37,45500.0,46834.48,25020.05271,1165205135.7008429,862066,-0.21759973270965582
2021-12-19,1639872000000,BTCUSDT,46834.47,48300.01,46406.91,46681.23,29305.70665,1384958598.3627698,874827,-0.26572976799056225
2021-12-20,1639958400000,BTCUSDT,46681.24,47537.57,45558.85,46914.16,35848.50609,1663363117.8304534,1076488,-0.2548521248490895
2021-12-21,1640044800000,BTCUSDT,46914.17,49328.96,46630.0,48889.88,37713.92924,1827234149.05988,1119412,-0.2259357903533219
2021-12-22,1640131200000,BTCUSDT,48887.59,49576.13,48421.87,48588.16,27004.2022,1322418595.3337295,949480,-0.20782068254889552
2021-12-23,1640217600000,BTCUSDT,48588.17,51375.0,47920.42,50838.81,35192.54046,1738129830.7814522,1176050,-0.15278054135990915
2021-12-24,1640304000000,BTCUSDT,50838.82,51810.0,50384.43,50820.0,31661.94946,1616919305.7036664,1074410,-0.09492447107311297
2021-12-25,1640390400000,BTCUSDT,50819.99,51156.23,50142.32,50399.66,19135.51613,971491029.130824,766979,-0.09407126759338047
2021-12-26,1640476800000,BTCUSDT,50399.67,51280.0,49412.0,50775.49,22569.88914,1132200241.5624182,797133,-0.10012423571112095
2021-12-27,1640563200000,BTCUSDT,50775.48,52088.0,50449.0,50701.44,28779.58212,1471423612.091862,1009238,-0.05737731891142994
2021-12-28,1640649600000,BTCUSDT,50701.44,50704.05,47313.01,47543.74,45853.33924,2242102220.931004,1345774,-0.0802310500714245
2021-12-29,1640736000000,BTCUSDT,47543.74,48139.08,46096.99,46464.66,39498.87,1873785571.2732968,1114074,-0.09115828338073984
2021-12-30,1640822400000,BTCUSDT,46464.66,47900.0,45900.0,47120.87,30352.29569,1428755720.453203,910157,-0.058483443041697614
2021-12-31,1640908800000,BTCUSDT,47120.88,48548.26,45678.0,46216.93,34937.99796,1650715977.918517,1059783,-0.058080855943849485
2022-01-01,1640995200000,BTCUSDT,46216.93,47954.63,46208.37,47722.65,19604.46325,924155159.5834864,714899,-0.11626997008780693
2022-01-02,1641081600000,BTCUSDT,47722.66,47990.0,46654.0,47286.18,18340.4604,866610995.5633582,709624,-0.14043834460027516
2022-01-03,1641168000000,BTCUSDT,47286.18,47570.0,45696.0,46446.1,27662.0771,1292203508.3256547,885624,-0.15315768342832015
2022-01-04,1641254400000,BTCUSDT,46446.1,47557.54,45500.0,45832.01,35491.4136,1649170424.1276135,1021815,-0.1442067033890393
2022-01-05,1641340800000,BTCUSDT,45832.01,47070.0,42500.0,43451.13,51784.11857,2334288544.645448,1478532,-0.24687269637002085
2022-01-06,1641427200000,BTCUSDT,43451.14,43816.0,42430.58,43082.31,38880.37305,1674466154.4383326,1150707,-0.25463608623958645
2022-01-07,1641513600000,BTCUSDT,43082.3,43145.83,40610.0,41566.48,54836.50818,2293851015.4652367,1406635,-0.26532705789030786
2022-01-08,1641600000000,BTCUSDT,41566.48,42300.0,40501.0,41679.74,32952.73111,1367233494.827767,1021908,-0.2709430693593198
2022-01-09,1641686400000,BTCUSDT,41679.74,42786.7,41200.02,41864.62,22724.39426,952830064.5125848,752733,-0.2130712005505262
2022-01-10,1641772800000,BTCUSDT,41864.62,42248.5,39650.0,41822.49,50729.17019,2088111339.5055964,1250983,-0.2718432707228955
2022-01-11,1641859200000,BTCUSDT,41822.49,43100.0,41268.93,42729.29,37296.43729,1574803608.9600787,1015526,-0.24230357018729753
2022-01-12,1641945600000,BTCUSDT,42729.29,44322.0,42450.0,43902.66,33943.2928,1470906437.7120714,1023902,-0.2340076507356308
2022-01-13,1642032000000,BTCUSDT,43902.65,44500.0,42311.22,42560.11,34910.87762,1515944525.4954946,1036234,-0.27695161823280023
2022-01-14,1642118400000,BTCUSDT,42558.35,43448.78,41725.95,43059.96,32640.88292,1392000443.3501673,946938,-0.2606569548104045
2022-01-15,1642204800000,BTCUSDT,43059.96,43800.0,42555.0,43084.29,21936.05616,946488263.548448,752688,-0.2281033765502236
2022-01-16,1642291200000,BTCUSDT,43084.29,43475.0,42581.79,43071.66,20602.35271,887203134.0531468,732171,-0.23995685902351882
2022-01-17,1642377600000,BTCUSDT,43071.66,43176.18,41540.42,42201.62,27562.08613,1169381684.4668436,918029,-0.14969781178497765
2022-01-18,1642464000000,BTCUSDT,42201.63,42691.0,41250.0,42352.12,29324.08257,1228459687.3994458,905061,-0.14734662922829966
2022-01-19,1642550400000,BTCUSDT,42352.12,42559.13,41138.56,41660.01,31685.72159,1327478459.1602297,924528,-0.16414931748574724
2022-01-20,1642636800000,BTCUSDT,41660.0,43505.0,40553.31,40680.91,42330.33953,1784801200.4044871,1098761,-0.13006182880949213
2022-01-21,1642723200000,BTCUSDT,40680.92,41100.0,35440.45,36445.31,88860.891999,3405501703.2219367,2092561,-0.21507360304965384
2022-01-22,1642809600000,BTCUSDT,36445.31,36835.22,34008.0,35071.42,90471.338961,3207531048.030652,2099978,-0.19446488633847558
2022-01-23,1642896000000,BTCUSDT,35071.42,36499.0,34601.01,36244.55,44279.52354,1572414639.0428774,1142407,-0.1541485160483903
2022-01-24,1642982400000,BTCUSDT,36244.55,37550.0,32917.17,36660.35,91904.753211,3192041586.10319,1999352,-0.000810573100256673
2022-01-25,1643068800000,BTCUSDT,36660.35,37545.14,35701.0,36958.32,49232.40183,1799224214.4997392,1248246,-0.08804875015545333
2022-01-26,1643155200000,BTCUSDT,36958.32,38919.98,36234.63,36809.34,69830.16036,2627491976.6908574,1584468,-0.01188311717944901
2022-01-27,1643241600000,BTCUSDT,36807.24,37234.47,35507.01,37160.1,53020.87934,1925920128.3436608,1308408,-0.007733834129111328
2022-01-28,1643328000000,BTCUSDT,37160.11,38000.0,36155.01,37716.56,42154.26956,1560203931.220128,1061101,0.08833611069029934
2022-01-29,1643414400000,BTCUSDT,37716.57,38720.74,37268.44,38166.84,26129.49682,989652386.9966494,816601,-0.016224489506599826
2022-01-30,1643500800000,BTCUSDT,38166.83,38359.26,37351.63,37881.76,21430.66527,812750216.6010319,698593,-0.011558075310139193
2022-01-31,1643587200000,BTCUSDT,37881.75,38744.0,36632.61,38466.9,36855.2458,1386754529.0295446,936014,-0.019749548378251824
2022-02-01,1643673600000,BTCUSDT,38466.9,39265.2,38000.0,38694.59,34574.44663,1334266166.7099986,917617,0.004272257603040286
2022-02-02,1643760000000,BTCUSDT,38694.59,38855.92,36586.95,36896.36,35794.6813,1353093948.9776013,907905,0.03456952754764053
